,,,,,,,,,,,
NSE:JSWSTEEL-EQ,2,0,0,0,200,100,0.6,0.3,1,1,50
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:NESTLEIND-EQ,2,0,0,0,200,100,0.6,0.3,1,1,50
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:POWERGRID-EQ,2,0,0,0,200,100,0.6,0.3,1,1,50
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:SBIN-EQ,2,0,0,0,200,100,0.6,0.3,1,1,50
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:TATAMOTORS-EQ,2,0,0,0,200,100,0.6,0.3,1,1,50
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:TCS-EQ,4,0,0,0,400,200,1.2,0.6,2,2,50
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:UPL-EQ,2,0,0,0,200,100,0.6,0.3,1,1,50
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:BHARTIARTL-EQ,3,0,0,0,400,100,1.2,0.3,2,1,66.66666667
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:HDFCBANK-EQ,3,0,0,0,400,100,1.2,0.3,2,1,66.66666667
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:HINDUNILVR-EQ,3,0,0,0,400,100,1.2,0.3,2,1,66.66666667
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:INDUSINDBK-EQ,3,0,0,0,400,100,1.2,0.3,2,1,66.66666667
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:INFY-EQ,3,0,0,0,400,100,1.2,0.3,2,1,66.66666667
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:RELIANCE-EQ,3,0,0,0,400,100,1.2,0.3,2,1,66.66666667
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:ASIANPAINT-EQ,1,0,0,0,200,0,0.6,0,1,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:AXISBANK-EQ,3,0,0,0,600,0,1.8,0,3,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:EICHERMOT-EQ,2,0,0,0,400,0,1.2,0,2,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:HDFC-EQ,2,0,0,0,400,0,1.2,0,2,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:ITC-EQ,3,0,0,0,600,0,1.8,0,3,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:KOTAKBANK-EQ,1,0,0,0,200,0,0.6,0,1,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:M&M-EQ,1,0,0,0,200,0,0.6,0,1,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:NTPC-EQ,2,0,0,0,200,0,0.6,0,1,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:SBILIFE-EQ,2,0,0,0,200,0,0.6,0,1,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:SHREECEM-EQ,1,0,0,0,200,0,0.6,0,1,0,100
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
NSE:TATASTEEL-EQ,0,0,0,0,0,0,0,0,0,0,#DIV/0!
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,
,,,,,,,,,,,
last week remove<.25% winners,,,,,,,,,,,
